2025-10-24 09:54:43,084 | WARNING | matplotlib | /Users/vladimir/.matplotlib is not a writable directory
2025-10-24 09:54:56,267 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,293 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,297 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,229 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,303 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,304 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,304 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,361 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,361 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,362 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,370 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,400 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,401 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,402 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,406 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,407 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,408 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,408 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,409 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,410 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,417 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,423 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,423 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,424 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
